Accuracy,Regions,Classifier
0.833333333333333,BLA,LDA
0.666666666666667,BLA,LDA
0.333333333333333,BLA,LDA
0.333333333333333,BLA,LDA
0.666666666666667,BLA,LDA
0.833333333333333,BLA,LDA
0.5,BLA,LDA
1,BLA,LDA
1,BLA,LDA
0.833333333333333,BLA,LDA
0.833333333333333,BLA,LDA
0.833333333333333,BLA,LDA
0.666666666666667,BLA,LDA
0.333333333333333,BLA,LDA
1,BLA,LDA
0.833333333333333,BLA,LDA
0.5,BLA,LDA
1,BLA,LDA
0.5,BLA,LDA
1,BLA,LDA
0.333333333333333,BLA,LDA
0.833333333333333,BLA,LDA
1,BLA,LDA
0.333333333333333,BLA,LDA
1,BLA,LDA
0.5,BLA,LDA
0.666666666666667,BLA,LDA
1,BLA,LDA
1,BLA,LDA
0.5,BLA,LDA
0.833333333333333,BLA,LDA
0.333333333333333,BLA,LDA
0.833333333333333,BLA,LDA
0.833333333333333,BLA,LDA
0.833333333333333,BLA,LDA
0.5,BLA,LDA
0.833333333333333,BLA,LDA
0.666666666666667,BLA,LDA
1,BLA,LDA
1,BLA,LDA
1,BLA,LDA
0.666666666666667,BLA,LDA
0.5,BLA,LDA
0.666666666666667,BLA,LDA
0.666666666666667,BLA,LDA
0.666666666666667,BLA,LDA
0.666666666666667,BLA,LDA
0.333333333333333,BLA,LDA
0.666666666666667,BLA,LDA
1,BLA,LDA
1,BLA,LDA
0.333333333333333,BLA,LDA
1,BLA,LDA
0.833333333333333,BLA,LDA
0.666666666666667,BLA,LDA
0.833333333333333,BLA,LDA
0.333333333333333,BLA,LDA
0.833333333333333,BLA,LDA
1,BLA,LDA
1,BLA,LDA
0.833333333333333,BLA,LDA
1,BLA,LDA
0.666666666666667,BLA,LDA
1,BLA,LDA
0.333333333333333,BLA,LDA
0.833333333333333,BLA,LDA
0.5,BLA,LDA
0.333333333333333,BLA,LDA
1,BLA,LDA
0.833333333333333,BLA,LDA
0.833333333333333,BLA,LDA
0.666666666666667,BLA,LDA
0.166666666666667,BLA,LDA
0.666666666666667,BLA,LDA
0.666666666666667,BLA,LDA
0.666666666666667,BLA,LDA
1,BLA,LDA
0.666666666666667,BLA,LDA
0.833333333333333,BLA,LDA
0.666666666666667,BLA,LDA
0.666666666666667,BLA,LDA
0.833333333333333,BLA,LDA
1,BLA,LDA
0.166666666666667,BLA,LDA
0.333333333333333,BLA,LDA
0.5,BLA,LDA
0.833333333333333,BLA,LDA
0.833333333333333,BLA,LDA
0.5,BLA,LDA
0.5,BLA,LDA
0.666666666666667,BLA,LDA
0.5,BLA,LDA
1,BLA,LDA
0.5,BLA,LDA
1,BLA,LDA
0.833333333333333,BLA,LDA
0.666666666666667,BLA,LDA
0.666666666666667,BLA,LDA
0.5,BLA,LDA
1,BLA,LDA
1,BLA,LDA
0.5,BLA,LDA
0.833333333333333,BLA,LDA
0.833333333333333,BLA,LDA
0.833333333333333,BLA,LDA
1,BLA,LDA
0.333333333333333,BLA,LDA
0.5,BLA,LDA
1,BLA,LDA
0.5,BLA,LDA
0.333333333333333,BLA,LDA
0.833333333333333,BLA,LDA
0.666666666666667,BLA,LDA
0.666666666666667,BLA,LDA
