Accuracy,Regions,Classifier
0.3,BLA,LDA
0.2,BLA,LDA
0.25,BLA,LDA
0.225,BLA,LDA
0.225,BLA,LDA
0.375,BLA,LDA
0.275,BLA,LDA
0.25,BLA,LDA
0.325,BLA,LDA
0.4,BLA,LDA
0.45,BLA,LDA
0.375,BLA,LDA
0.325,BLA,LDA
0.275,BLA,LDA
0.35,BLA,LDA
0.275,BLA,LDA
0.325,BLA,LDA
0.3,BLA,LDA
0.325,BLA,LDA
0.4,BLA,LDA
0.375,BLA,LDA
0.225,BLA,LDA
0.275,BLA,LDA
0.35,BLA,LDA
0.15,BLA,LDA
0.325,BLA,LDA
0.275,BLA,LDA
0.25,BLA,LDA
0.3,BLA,LDA
0.2,BLA,LDA
0.375,BLA,LDA
0.375,BLA,LDA
0.375,BLA,LDA
0.25,BLA,LDA
0.25,BLA,LDA
0.25,BLA,LDA
0.35,BLA,LDA
0.375,BLA,LDA
0.175,BLA,LDA
0.275,BLA,LDA
0.3,BLA,LDA
0.475,BLA,LDA
0.375,BLA,LDA
0.225,BLA,LDA
0.325,BLA,LDA
0.175,BLA,LDA
0.425,BLA,LDA
0.225,BLA,LDA
0.575,BLA,LDA
0.225,BLA,LDA
0.325,BLA,LDA
0.275,BLA,LDA
0.25,BLA,LDA
0.225,BLA,LDA
0.225,BLA,LDA
0.15,BLA,LDA
0.325,BLA,LDA
0.225,BLA,LDA
0.425,BLA,LDA
0.25,BLA,LDA
0.325,BLA,LDA
0.4,BLA,LDA
0.275,BLA,LDA
0.25,BLA,LDA
0.325,BLA,LDA
0.225,BLA,LDA
0.325,BLA,LDA
0.25,BLA,LDA
0.3,BLA,LDA
0.3,BLA,LDA
0.225,BLA,LDA
0.175,BLA,LDA
0.375,BLA,LDA
0.275,BLA,LDA
0.2,BLA,LDA
0.25,BLA,LDA
0.325,BLA,LDA
0.3,BLA,LDA
0.2,BLA,LDA
0.25,BLA,LDA
0.325,BLA,LDA
0.325,BLA,LDA
0.275,BLA,LDA
0.5,BLA,LDA
0.35,BLA,LDA
0.35,BLA,LDA
0.2,BLA,LDA
0.225,BLA,LDA
0.425,BLA,LDA
0.325,BLA,LDA
0.25,BLA,LDA
0.3,BLA,LDA
0.275,BLA,LDA
0.225,BLA,LDA
0.225,BLA,LDA
0.35,BLA,LDA
0.25,BLA,LDA
0.325,BLA,LDA
0.375,BLA,LDA
0.15,BLA,LDA
0.35,BLA,LDA
0.275,BLA,LDA
0.4,BLA,LDA
0.15,BLA,LDA
0.3,BLA,LDA
0.225,BLA,LDA
0.325,BLA,LDA
0.225,BLA,LDA
0.25,BLA,LDA
0.375,BLA,LDA
0.35,BLA,LDA
0.125,BLA,LDA
0.2,BLA,LDA
0.3,BLA,LDA
0.15,BLA,LDA
0.425,BLA,LDA
0.275,BLA,LDA
0.2,BLA,LDA
0.25,BLA,LDA
0.375,BLA,LDA
0.3,BLA,LDA
0.275,BLA,LDA
0.275,BLA,LDA
0.25,BLA,LDA
0.35,BLA,LDA
0.225,BLA,LDA
0.25,BLA,LDA
0.3,BLA,LDA
0.225,BLA,LDA
0.15,BLA,LDA
0.2,BLA,LDA
0.35,BLA,LDA
0.25,BLA,LDA
0.25,BLA,LDA
0.325,BLA,LDA
0.35,BLA,LDA
0.35,BLA,LDA
0.3,BLA,LDA
0.45,BLA,LDA
0.25,BLA,LDA
0.35,BLA,LDA
0.325,BLA,LDA
0.2,BLA,LDA
0.35,BLA,LDA
0.25,BLA,LDA
0.275,BLA,LDA
0.275,BLA,LDA
0.375,BLA,LDA
0.275,BLA,LDA
0.3,BLA,LDA
0.45,BLA,LDA
0.175,BLA,LDA
